,0
427,821149554670182400
428,821107785811234820
429,821044531881721856
430,820837357901512704
431,820749716845686786
432,820690176645140481
433,820494788566847489
434,820446719150292993
435,820314633777061888
436,820078625395449857
437,820013781606658049
438,819952236453363712
439,819924195358416896
440,819711362133872643
441,819588359383371776
442,819347104292290561
443,819238181065359361
444,819227688460238848
445,819015337530290176
446,819015331746349057
447,819006400881917954
448,819004803107983360
449,818646164899774465
450,818627210458333184
451,818614493328580609
452,818588835076603904
453,818536468981415936
454,818307523543449600
455,818259473185828864
456,818145370475810820
457,817908911860748288
458,817827839487737858
459,817777686764523521
460,817536400337801217
461,817502432452313088
462,817423860136083457
463,817415592588222464
464,817181837579653120
465,817171292965273600
466,817120970343411712
467,817056546584727552
468,816829038950027264
469,816816676327063552
470,816697700272001025
471,816450570814898180
472,816336735214911488
473,816091915477250048
474,816062466425819140
475,816014286006976512
476,815990720817401858
477,815966073409433600
478,815745968457060357
479,815736392542261248
480,815639385530101762
481,815390420867969024
482,814986499976527872
483,814638523311648768
484,814578408554463233
485,814530161257443328
486,814153002265309185
487,813944609378369540
488,813910438903693312
489,813812741911748608
490,813800681631023104
491,813217897535406080
492,813202720496779264
493,813187593374461952
494,813172488309972993
495,813157409116065792
496,813142292504645637
497,813130366689148928
498,813127251579564032
499,813112105746448384
500,813096984823349248
501,813081950185472002
502,813066809284972545
503,813051746834595840
504,812781120811126785
505,812747805718642688
506,812709060537683968
507,812503143955202048
508,812466873996607488
509,812372279581671427
510,811985624773361665
511,811744202451197953
512,811647686436880384
513,811627233043480576
514,811386762094317568
515,810984652412424192
516,810896069567610880
517,810657578271330305
518,810284430598270976
519,810254108431155201
520,809920764300447744
521,809808892968534016
522,809448704142938112
523,809220051211603969
524,809084759137812480
525,808838249661788160
526,808733504066486276
527,808501579447930884
528,808344865868283904
529,808134635716833280
530,808106460588765185
531,808001312164028416
532,807621403335917568
533,807106840509214720
534,807059379405148160
535,807010152071229440
536,806629075125202948
537,806620845233815552
538,806576416489959424
539,806542213899489280
540,806242860592926720
541,806219024703037440
542,805958939288408065
543,805932879469572096
544,805826884734976000
545,805823200554876929
546,805520635690676224
547,805487436403003392
548,805207613751304193
549,804738756058218496
550,804475857670639616
551,804413760345620481
552,804026241225523202
553,803773340896923648
554,803692223237865472
555,803638050916102144
556,803380650405482500
557,803321560782307329
558,803276597545603072
559,802952499103731712
560,802624713319034886
561,802600418706604034
562,802572683846291456
563,802323869084381190
564,802265048156610565
565,802247111496568832
566,802239329049477120
567,802185808107208704
568,801958328846974976
569,801854953262350336
570,801538201127157760
571,801285448605831168
572,801167903437357056
573,801127390143516673
574,801115127852503040
575,800859414831898624
576,800855607700029440
577,800751577355128832
578,800513324630806528
579,800459316964663297
580,800443802682937345
581,800388270626521089
582,800188575492947969
583,800141422401830912
584,800018252395122689
585,799774291445383169
586,799757965289017345
587,799422933579902976
588,799308762079035393
589,799297110730567681
590,799063482566066176
591,798933969379225600
592,798925684722855936
593,798705661114773508
594,798701998996647937
595,798697898615730177
596,798694562394996736
597,798686750113755136
598,798682547630837760
599,798673117451325440
600,798665375516884993
601,798644042770751489
602,798628517273620480
603,798585098161549313
604,798576900688019456
605,798340744599797760
606,798209839306514432
607,797971864723324932
608,797545162159308800
609,797236660651966464
610,797165961484890113
611,796904159865868288
612,796865951799083009
613,796759840936919040
614,796563435802726400
615,796484825502875648
616,796387464403357696
617,796177847564038144
618,796149749086875649
619,796125600683540480
620,796116448414461957
621,796080075804475393
622,796031486298386433
623,795464331001561088
624,795400264262053889
625,795076730285391872
626,794983741416415232
627,794926597468000259
628,794355576146903043
629,794332329137291264
630,794205286408003585
631,793962221541933056
632,793845145112371200
633,793614319594401792
634,793601777308463104
635,793500921481273345
636,793286476301799424
637,793271401113350145
638,793256262322548741
639,793241302385262592
640,793226087023144960
641,793210959003287553
642,793195938047070209
643,793180763617361921
644,793165685325201412
645,793150605191548928
646,793135492858580992
647,793120401413079041
648,792913359805018113
649,792883833364439040
650,792773781206999040
651,792394556390137856
652,792050063153438720
653,791821351946420224
654,791784077045166082
655,791780927877898241
656,791774931465953280
657,791672322847637504
658,791406955684368384
659,791312159183634433
660,791026214425268224
661,790987426131050500
662,790946055508652032
663,790723298204217344
664,790698755171364864
665,790581949425475584
666,790337589677002753
667,790277117346975746
668,790227638568808452
669,789986466051088384
670,789960241177853952
671,789903600034189313
672,789628658055020548
673,789599242079838210
674,789530877013393408
675,789314372632018944
676,789280767834746880
677,789268448748703744
678,789137962068021249
679,788908386943430656
680,788765914992902144
681,788552643979468800
682,788412144018661376
683,788178268662984705
684,788150585577050112
685,788070120937619456
686,788039637453406209
687,787810552592695296
688,787717603741622272
689,787397959788929025
690,787322443945877504
691,787111942498508800
692,786963064373534720
693,786729988674449408
694,786709082849828864
695,786664955043049472
696,786595970293370880
697,786363235746385920
698,786286427768250368
699,786233965241827333
700,786051337297522688
701,786036967502913536
702,785927819176054784
703,785872687017132033
704,785639753186217984
705,785533386513321988
706,785515384317313025
707,785264754247995392
708,785170936622350336
709,784826020293709826
710,784517518371221505
711,784431430411685888
712,784183165795655680
713,784057939640352768
714,783839966405230592
715,783821107061198850
716,783695101801398276
717,783466772167098368
718,783391753726550016
719,783347506784731136
720,783334639985389568
721,783085703974514689
722,782969140009107456
723,782747134529531904
724,782722598790725632
725,782598640137187329
726,782305867769217024
727,782021823840026624
728,781955203444699136
729,781661882474196992
730,781655249211752448
731,781524693396357120
732,781308096455073793
733,781251288990355457
734,781163403222056960
735,780931614150983680
736,780858289093574656
737,780800785462489090
738,780601303617732608
739,780543529827336192
740,780496263422808064
741,780476555013349377
742,780459368902959104
743,780192070812196864
744,780092040432480260
745,780074436359819264
746,779834332596887552
747,779377524342161408
748,779124354206535695
749,779123168116150273
750,779056095788752897
751,778990705243029504
752,778774459159379968
753,778764940568104960
754,778748913645780993
755,778650543019483137
756,778624900596654080
757,778408200802557953
758,778396591732486144
759,778383385161035776
760,778286810187399168
761,778039087836069888
762,778027034220126208
763,777953400541634568
764,777885040357281792
765,777684233540206592
766,777641927919427584
767,777621514455814149
768,777189768882946048
769,776819012571455488
770,776813020089548800
771,776477788987613185
772,776249906839351296
773,776218204058357768
774,776201521193218049
775,776113305656188928
776,776088319444877312
777,775898661951791106
778,775842724423557120
779,775733305207554048
780,775729183532220416
781,775364825476165632
782,775350846108426240
783,775096608509886464
784,775085132600442880
785,774757898236878852
786,774639387460112384
787,774314403806253056
788,773985732834758656
789,773922284943896577
790,773704687002451968
791,773670353721753600
792,773547596996571136
793,773336787167145985
794,773308824254029826
795,773247561583001600
796,773191612633579521
797,772877495989305348
798,772826264096874500
799,772615324260794368
800,772581559778025472
801,772193107915964416
802,772152991789019136
803,772117678702071809
804,772114945936949249
805,772102971039580160
806,771908950375665664
807,771770456517009408
808,771500966810099713
809,771380798096281600
810,771171053431250945
811,771136648247640064
812,771102124360998913
813,771014301343748096
814,770787852854652928
815,770772759874076672
816,770743923962707968
817,770655142660169732
818,770414278348247044
819,770293558247038976
820,770093767776997377
821,770069151037685760
822,769940425801170949
823,769695466921623552
824,769335591808995329
825,769212283578875904
826,768970937022709760
827,768909767477751808
828,768855141948723200
829,768609597686943744
830,768596291618299904
831,768554158521745409
832,768473857036525572
833,768193404517830656
834,767884188863397888
835,767754930266464257
836,767500508068192258
837,767191397493538821
838,767122157629476866
839,766864461642756096
840,766793450729734144
841,766714921925144576
842,766693177336135680
843,766423258543644672
844,766313316352462849
845,766078092750233600
846,766069199026450432
847,766008592277377025
848,765719909049503744
849,765669560888528897
850,765395769549590528
851,765371061932261376
852,765222098633691136
853,764857477905154048
854,764259802650378240
855,763956972077010945
856,763837565564780549
857,763183847194451968
858,763167063695355904
859,763103485927849985
860,762699858130116608
861,762471784394268675
862,762464539388485633
863,762316489655476224
864,762035686371364864
865,761976711479193600
866,761750502866649088
867,761745352076779520
868,761672994376806400
869,761599872357261312
870,761371037149827077
871,761334018830917632
872,761292947749015552
873,761227390836215808
874,761004547850530816
875,760893934457552897
876,760656994973933572
877,760641137271070720
878,760539183865880579
879,760521673607086080
880,760290219849637889
881,760252756032651264
882,760190180481531904
883,760153949710192640
884,759943073749200896
885,759923798737051648
886,759846353224826880
887,759793422261743616
888,759566828574212096
889,759557299618865152
890,759447681597108224
891,759446261539934208
892,759197388317847553
893,759159934323924993
894,759099523532779520
895,759047813560868866
896,758854675097526272
897,758828659922702336
898,758740312047005698
899,758474966123810816
900,758467244762497024
901,758405701903519748
902,758355060040593408
903,758099635764359168
904,758041019896193024
905,757741869644341248
906,757729163776290825
907,757725642876129280
908,757611664640446465
909,757597904299253760
910,757596066325864448
911,757400162377592832
912,757393109802180609
913,757354760399941633
914,756998049151549440
915,756939218950160384
916,756651752796094464
917,756526248105566208
918,756303284449767430
919,756288534030475264
920,756275833623502848
921,755955933503782912
922,755206590534418437
923,755110668769038337
924,754874841593970688
925,754856583969079297
926,754747087846248448
927,754482103782404096
928,754449512966619136
929,754120377874386944
930,754011816964026368
931,753655901052166144
932,753420520834629632
933,753398408988139520
934,753375668877008896
935,753298634498793472
936,753294487569522689
937,753039830821511168
938,753026973505581056
939,752932432744185856
940,752917284578922496
941,752701944171524096
942,752682090207055872
943,752660715232722944
944,752568224206688256
945,752519690950500352
946,752334515931054080
947,752309394570878976
948,752173152931807232
949,751950017322246144
950,751937170840121344
951,751830394383790080
952,751793661361422336
953,751598357617971201
954,751583847268179968
955,751538714308972544
956,751456908746354688
957,751251247299190784
958,751205363882532864
959,751132876104687617
960,750868782890057730
961,750719632563142656
962,750506206503038976
963,750429297815552001
964,750383411068534784
965,750381685133418496
966,750147208377409536
967,750132105863102464
968,750117059602808832
969,750101899009982464
970,750086836815486976
971,750071704093859840
972,750056684286914561
973,750041628174217216
974,750026558547456000
975,750011400160841729
976,749996283729883136
977,749981277374128128
978,749774190421639168
979,749417653287129088
980,749403093750648834
981,749395845976588288
982,749317047558017024
983,749075273010798592
984,749064354620928000
985,749036806121881602
986,748977405889503236
987,748932637671223296
988,748705597323898880
989,748699167502000129
990,748692773788876800
991,748575535303884801
992,748568946752774144
993,748346686624440324
994,748337862848962560
995,748324050481647620
996,748307329658011649
997,748220828303695873
998,747963614829678593
999,747933425676525569
1000,747885874273214464
1001,747844099428986880
1002,747816857231626240
1003,747651430853525504
1004,747648653817413632
1005,747600769478692864
1006,747594051852075008
1007,747512671126323200
1008,747461612269887489
1009,747439450712596480
1010,747242308580548608
1011,747219827526344708
1012,747204161125646336
1013,747103485104099331
1014,746906459439529985
1015,746872823977771008
1016,746818907684614144
1017,746790600704425984
1018,746757706116112384
1019,746726898085036033
1020,746542875601690625
1021,746521445350707200
1022,746507379341139972
1023,746369468511756288
1024,746131877086527488
1025,746056683365994496
1026,745789745784041472
1027,745712589599014916
1028,745433870967832576
1029,745422732645535745
1030,745314880350101504
1031,745074613265149952
1032,745057283344719872
1033,744995568523612160
1034,744971049620602880
1035,744709971296780288
1036,744334592493166593
1037,744234799360020481
1038,744223424764059648
1039,743980027717509120
1040,743895849529389061
1041,743835915802583040
1042,743609206067040256
1043,743595368194129920
1044,743545585370791937
1045,743510151680958465
1046,743253157753532416
1047,743222593470234624
1048,743210557239623680
1049,742534281772302336
1050,742528092657332225
1051,742465774154047488
1052,742423170473463808
1053,742385895052087300
1054,742161199639494656
1055,742150209887731712
1056,741793263812808706
1057,741743634094141440
1058,741438259667034112
1059,741303864243200000
1060,741099773336379392
1061,741067306818797568
1062,740995100998766593
1063,740711788199743490
1064,740699697422163968
1065,740676976021798912
1066,740373189193256964
1067,740365076218183684
1068,740359016048689152
1069,740214038584557568
1070,739979191639244800
1071,739932936087216128
1072,739844404073074688
1073,739623569819336705
1074,739606147276148736
1075,739544079319588864
1076,739485634323156992
1077,739238157791694849
1078,738891149612572673
1079,738885046782832640
1080,738883359779196928
1081,738537504001953792
1082,738402415918125056
1083,738184450748633089
1084,738166403467907072
1085,738156290900254721
1086,737826014890496000
1087,737800304142471168
1088,737678689543020544
1089,737445876994609152
1090,737322739594330112
1091,737310737551491075
1092,736736130620620800
1093,736392552031657984
1094,736365877722001409
1095,736225175608430592
1096,736010884653420544
1097,735991953473572864
1098,735648611367784448
1099,735635087207878657
1100,735274964362878976
1101,735256018284875776
1102,735137028879360001
1103,734912297295085568
1104,734787690684657664
1105,734776360183431168
1106,734559631394082816
1107,733828123016450049
1108,733822306246479872
1109,733482008106668032
1110,733460102733135873
1111,733109485275860992
1112,732732193018155009
1113,732726085725589504
1114,732585889486888962
1115,732375214819057664
1116,732005617171337216
1117,731285275100512256
1118,731156023742988288
1119,730924654643314689
1120,730573383004487680
1121,730427201120833536
1122,730211855403241472
1123,730196704625098752
1124,729854734790754305
1125,729838605770891264
1126,729823566028484608
1127,729463711119904772
1128,729113531270991872
1129,728986383096946689
1130,728760639972315136
1131,728751179681943552
1132,728653952833728512
1133,728409960103686147
1134,728387165835677696
1135,728046963732717569
1136,728035342121635841
1137,728015554473250816
1138,727685679342333952
1139,727644517743104000
1140,727524757080539137
1141,727314416056803329
1142,727286334147182592
1143,727175381690781696
1144,727155742655025152
1145,726935089318363137
1146,726887082820554753
1147,726828223124897792
1148,726224900189511680
1149,725842289046749185
1150,725786712245440512
1151,725729321944506368
1152,725458796924002305
1153,724983749226668032
1154,724771698126512129
1155,724405726123311104
1156,724049859469295616
1157,724046343203856385
1158,724004602748780546
1159,723912936180330496
1160,723688335806480385
1161,723673163800948736
1162,723179728551723008
1163,722974582966214656
1164,722613351520608256
1165,721503162398597120
1166,721001180231503872
1167,720785406564900865
1168,720775346191278080
1169,720415127506415616
1170,720389942216527872
1171,720340705894408192
1172,720059472081784833
1173,720043174954147842
1174,719991154352222208
1175,719704490224398336
1176,719551379208073216
1177,719367763014393856
1178,719339463458033665
1179,719332531645071360
1180,718971898235854848
1181,718939241951195136
1182,718631497683582976
1183,718613305783398402
1184,718540630683709445
1185,718460005985447936
1186,718454725339934721
1187,718246886998687744
1188,718234618122661888
1189,717841801130979328
1190,717790033953034240
1191,717537687239008257
1192,717428917016076293
1193,717421804990701568
1194,717047459982213120
1195,717009362452090881
1196,716802964044845056
1197,716791146589110272
1198,716730379797970944
1199,716447146686459905
1200,716439118184652801
1201,716285507865542656
1202,716080869887381504
1203,715928423106027520
1204,715758151270801409
1205,715733265223708672
1206,715704790270025728
1207,715696743237730304
1208,715680795826982913
1209,715360349751484417
1210,715342466308784130
1211,715220193576927233
1212,715200624753819648
1213,715009755312439296
1214,714982300363173890
1215,714962719905021952
1216,714957620017307648
1217,714631576617938945
1218,714606013974974464
1219,714485234495041536
1220,714258258790387713
1221,714251586676113411
1222,714214115368108032
1223,714141408463036416
1224,713919462244790272
1225,713909862279876608
1226,713900603437621249
1227,713761197720473600
1228,713411074226274305
1229,713177543487135744
1230,713175907180089344
1231,712809025985978368
1232,712717840512598017
1233,712668654853337088
1234,712438159032893441
1235,712309440758808576
1236,712097430750289920
1237,712092745624633345
1238,712085617388212225
1239,712065007010385924
1240,711998809858043904
1241,711968124745228288
1242,711743778164514816
1243,711732680602345472
1244,711694788429553666
1245,711652651650457602
1246,711363825979756544
1247,711306686208872448
1248,711008018775851008
1249,710997087345876993
1250,710844581445812225
1251,710833117892898816
1252,710658690886586372
1253,710609963652087808
1254,710588934686908417
1255,710296729921429505
1256,710283270106132480
1257,710272297844797440
1258,710269109699739648
1259,710153181850935296
1260,710140971284037632
1261,710117014656950272
1262,709918798883774466
1263,709901256215666688
1264,709852847387627521
1265,709566166965075968
1266,709556954897764353
1267,709519240576036864
1268,709449600415961088
1269,709409458133323776
1270,709225125749587968
1271,709207347839836162
1272,709198395643068416
1273,709179584944730112
1274,709158332880297985
1275,709042156699303936
1276,708853462201716736
1277,708845821941387268
1278,708834316713893888
1279,708810915978854401
1280,708738143638450176
1281,708711088997666817
1282,708479650088034305
1283,708469915515297792
1284,708400866336894977
1285,708356463048204288
1286,708349470027751425
1287,708149363256774660
1288,708130923141795840
1289,708119489313951744
1290,708109389455101952
1291,708026248782585858
1292,707995814724026368
1293,707983188426153984
1294,707969809498152960
1295,707776935007539200
1296,707741517457260545
1297,707738799544082433
1298,707693576495472641
1299,707629649552134146
1300,707610948723478529
1301,707420581654872064
1302,707411934438625280
1303,707387676719185920
1304,707377100785885184
1305,707315916783140866
1306,707297311098011648
1307,707059547140169728
1308,707038192327901184
1309,707021089608753152
1310,707014260413456384
1311,706904523814649856
1312,706901761596989440
1313,706681918348251136
1314,706644897839910912
1315,706593038911545345
1316,706538006853918722
1317,706516534877929472
1318,706346369204748288
1319,706310011488698368
1320,706291001778950144
1321,706265994973601792
1322,706169069255446529
1323,706166467411222528
1324,706153300320784384
1325,705975130514706432
1326,705970349788291072
1327,705898680587526145
1328,705786532653883392
1329,705591895322394625
1330,705475953783398401
1331,705442520700944385
1332,705428427625635840
1333,705239209544720384
1334,705223444686888960
1335,705102439679201280
1336,705066031337840642
1337,704871453724954624
1338,704859558691414016
1339,704847917308362754
1340,704819833553219584
1341,704761120771465216
1342,704499785726889984
1343,704491224099647488
1344,704480331685040129
1345,704364645503647744
1346,704347321748819968
1347,704134088924532736
1348,704113298707505153
1349,704054845121142784
1350,703774238772166656
1351,703769065844768768
1352,703631701117943808
1353,703611486317502464
1354,703425003149250560
1355,703407252292673536
1356,703382836347330562
1357,703356393781329922
1358,703268521220972544
1359,703079050210877440
1360,703041949650034688
1361,702932127499816960
1362,702899151802126337
1363,702684942141153280
1364,702671118226825216
1365,702598099714314240
1366,702539513671897089
1367,702332542343577600
1368,702321140488925184
1369,702276748847800320
1370,702217446468493312
1371,701981390485725185
1372,701952816642965504
1373,701889187134500865
1374,701805642395348998
1375,701601587219795968
1376,701570477911896070
1377,701545186879471618
1378,701214700881756160
1379,700890391244103680
1380,700864154249383937
1381,700847567345688576
1382,700796979434098688
1383,700747788515020802
1384,700518061187723268
1385,700505138482569216
1386,700462010979500032
1387,700167517596164096
1388,700151421916807169
1389,700143752053182464
1390,700062718104104960
1391,700029284593901568
1392,700002074055016451
1393,699801817392291840
1394,699788877217865730
1395,699779630832685056
1396,699775878809702401
1397,699691744225525762
1398,699446877801091073
1399,699434518667751424
1400,699423671849451520
1401,699413908797464576
1402,699370870310113280
1403,699323444782047232
1404,699088579889332224
1405,699079609774645248
1406,699072405256409088
1407,699060279947165696
1408,699036661657767936
1409,698989035503689728
1410,698953797952008193
1411,698907974262222848
1412,698710712454139905
1413,698703483621523456
1414,698635131305795584
1415,698549713696649216
1416,698355670425473025
1417,698342080612007937
1418,698262614669991936
1419,698195409219559425
1420,698178924120031232
1421,697995514407682048
1422,697990423684476929
1423,697943111201378304
1424,697881462549430272
1425,697630435728322560
1426,697616773278015490
1427,697596423848730625
1428,697575480820686848
1429,697516214579523584
1430,697482927769255936
1431,697463031882764288
1432,697270446429966336
1433,697259378236399616
1434,697255105972801536
1435,697242256848379904
1436,696900204696625153
1437,696894894812565505
1438,696886256886657024
1439,696877980375769088
1440,696754882863349760
1441,696744641916489729
1442,696713835009417216
1443,696518437233913856
1444,696490539101908992
1445,696488710901260288
1446,696405997980676096
1447,696100768806522880
1448,695816827381944320
1449,695794761660297217
1450,695767669421768709
1451,695629776980148225
1452,695446424020918272
1453,695409464418041856
1454,695314793360662529
1455,695095422348574720
1456,695074328191332352
1457,695064344191721472
1458,695051054296211456
1459,694925794720792577
1460,694905863685980160
1461,694669722378485760
1462,694356675654983680
1463,694352839993344000
1464,694342028726001664
1465,694329668942569472
1466,694206574471057408
1467,694183373896572928
1468,694001791655137281
1469,693993230313091072
1470,693942351086120961
1471,693647888581312512
1472,693644216740769793
1473,693642232151285760
1474,693629975228977152
1475,693622659251335168
1476,693590843962331137
1477,693582294167244802
1478,693486665285931008
1479,693280720173801472
1480,693267061318012928
1481,693262851218264065
1482,693231807727280129
1483,693155686491000832
1484,693109034023534592
1485,693095443459342336
1486,692919143163629568
1487,692905862751522816
1488,692901601640583168
1489,692894228850999298
1490,692828166163931137
1491,692752401762250755
1492,692568918515392513
1493,692535307825213440
1494,692530551048294401
1495,692423280028966913
1496,692417313023332352
1497,692187005137076224
